,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
340,"Standard Weather Data for the Bushland, Texas, Alfalfa Experiments",dataset,"Standard Weather Data for the Bushland, Texas, Alfalfa Experiments
https://data.nal.usda.gov/dataset/standard-weather-data-bushland-texas-alfalfa-experiments
This dataset consists of weather data for each year when alfalfa was grown for dry hay at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL). Alfalfa was grown, cut and field cured for dry hay on four large, precision weighing lysimeters, each in the center of a 4.44 ha square field. The four square fields are themselves arranged in a larger square with the fields in four adjacent quadrants of the larger square. Fields and lysimeters within each field are thus designated northeast (NE), southeast (SE), northwest (NW), and southwest (SW). Irrigation was by linear move sprinkler system equipped with mid elevation spray applicators. Irrigations were managed to replenish soil water used by the crop on a weekly or more frequent basis as determined by soil profile water content readings made with a neutron probe to 2.4-m depth in the field.
The weather data include solar irradiance, barometric pressure, air temperature and relative humidity, and wind speed determined using sensors placed at 2-m height over a level, grass surface mowed to not exceed 12 cm height and irrigated and fertilized to maintain reference conditions as promulgated by ASCE (2005) and FAO (1996). Irrigation was by surface flood in 1989 through 1994, and by subsurface drip irrigation after 1994. Sensors were replicated and intercompared between replicates and with data from nearby weather stations, which were sometimes used for gap filling. Quality control and assurance methods are described by Evett et al. (2018).
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. Prior publications have focused on alfalfa ET, ""tall crop"" (alfalfa) reference ET, crop coefficients, and crop water productivity. Crop coefficients have been used by ET networks. The data have utility for testing simulation models of crop ET, growth, and yield and have been used by the Agricultural Model Intercomparison and Improvement Project (AgMIP), by OPENET, and by many others for testing, and calibrating models of ET that use satellite and/or weather data.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,continuous,FALSE,TRUE,FALSE,NA,"Standard Weather Data for the Bushland, Texas, Alfalfa Experiments","Standard Weather Data for the Bushland, Texas, Alfalfa Experiments",Weather
337,"Standard Quality Controlled Research Weather Data – USDA-ARS, Bushland, Texas",dataset,"Standard Quality Controlled Research Weather Data – USDA-ARS, Bushland, Texas
https://doi.org/10.15482/USDA.ADC/1526433
[ NOTE – 2022/05/06: this dataset supersedes the earlier version https://doi.org/10.15482/USDA.ADC/1482548 ].
This dataset contains 15-minute mean weather data from the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU) research weather station, Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL) for all days in each year since 1988. The data are from sensors placed at 2-m height over a level, grass surface mowed to not exceed 12 cm height and irrigated and fertilized to maintain reference conditions as promulgated by Allen et al. (2005, 1998). Irrigation was by surface flood in 1989 through 1994, and by subsurface drip irrigation after 1994. Sensors were replicated and intercompared between replicates and with data from nearby weather stations, which were sometimes used for gap filling. Quality control and assurance methods are described by Evett et al. (2018). Data from a duplicate sensor were used to fill gaps in data from the primary sensor using appropriate regression relationships. Gap filling was also accomplished using sensors deployed at one of the four large weighing lysimeters immediately west of the weather station, or using sensors at other nearby stations when reliable regression relationships could be developed. The primary paper describes details of the sensors used and methods of testing, calibration, inter-comparison, and use. The weather data include air temperature (C) and relative humidity (%), wind speed (m/s), solar irradiance (W m-2), barometric pressure (kPa), and precipitation (rain and snow in mm). Because the large (3 m by 3 m surface area) weighing lysimeters are better rain gages than are tipping bucket gages, the 15-minute precipitation data are derived for each lysimeter from changes in lysimeter mass. The land slope is <0.3% and flat. The mean annual precipitation is ~470 mm, the 20-year pan evaporation record indicates ~2,600 mm Class A pan evaporation per year, and winds are typically from the South and Southwest. The climate is semi-arid with ~70% (350 mm) of the annual precipitation occurring from May to September, during which period the pan evaporation averages ~1520 mm.
These datasets originate from research aimed at determining crop water use (ET), crop coefficients for use in ET-based irrigation scheduling based on a reference ET, crop growth, yield, harvest index, and crop water productivity as affected by irrigation method, timing, amount (full or some degree of deficit), agronomic practices, cultivar, and weather. The data have utility for testing simulation models of crop ET, growth, and yield and have been used by the Agricultural Model Intercomparison and Improvement Project (AgMIP), by OPENET, and by many others for testing, and calibrating models of ET that use satellite and/or weather data.",opensource,excel,Excel,server,Data are in the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,continuous,FALSE,TRUE,FALSE,NA,"Standard Quality Controlled Research Weather Data – USDA-ARS, Bushland, Texas","Standard Quality Controlled Research Weather Data – USDA-ARS, Bushland, Texas",Weather
88,St. Joseph River Watershed CEAP data,dataset,"Since 2002, a number of watersheds have been monitored in northeastern Indiana, as part of the national Conservation Effects Assessment Project (CEAP). Specifically, these pertain to watershed and field sites in the Cedar Creek catchment, which is part of the St. Joseph River watershed, with the St. Joseph River draining to the Maumee River and Lake Erie.  Data include climate, flow discharge, and numerous chemical constituents in runoff waters.  Real-time data can be accessed through our website at:  https://amarillo.nserl.purdue.edu/ceap/index.php, while more detailed QC/QA data can be requested from the NSERL, and ultimately will be available from the USDA-ARS STEWARDS database.",owned,database,Aquarius database,server,"I am not directly responsible for this, so do not know the details.",hybrid,ARS,Flanagan_Dennis,unknown,"continuous,observational,other",FALSE,TRUE,TRUE,"Real-time climate and flow data. Water samples collected, frozen, transported to the NSERL, and chemical analyses conducted there (N, P, pesticides).",St. Joseph River Watershed CEAP data,St. Joseph River Watershed CEAP data,Water
36,SSURGO,dataset,Standard dataset,owned,geoformat,NA,server,NA,public,ARS,Goslee_Sarah,100gb,observational,FALSE,FALSE,TRUE,NA,SSURGO,SSURGO,Soil
92,gSSURGO.gNATSGO,dataset,"Inventory of the soil data for the US collected and maintained by the Soil Suvet Program at USDA NRCS at https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/geo/?cid=nrcseprd1464625
",owned,geoformat,NA,server,NA,public,ARS,Libohova_Zamir,1tb,continuous,FALSE,TRUE,FALSE,NA,SSURGO,SSURGO,Soil
274,Soils (SSURGO),dataset,"SSURGO data contains information about soils collected by the National Cooperative Soil Survey that can be accessed online using the Web Soil Survey website (https://websoilsurvey.sc.egov.usda.gov), or downloaded, viewed, and utilized with GIS software.  SSURGO is a robust database that contains numerous interpretive data such as water capacity, hydric ratings, electrical conductivity, building site development and other engineering uses.  More information can be found at this website: https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/?cid=nrcs142p2_053627
",opensource,geoformat,"MS Access (MDB), Geodatabase (GDB), Shapefile (SHP)",other,"Various website portals (Web Soil Survey, SoilWeb, AGOL), Local Drives",public,NRCS,Capezza_Robert,1tb,continuous,FALSE,TRUE,FALSE,NA,SSURGO,SSURGO,Soil
283,SSURGO and grid SSURGO data sets,dataset,"maps soils in the United States and provides data on soil properties.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/?cid=nrcs142p2_053627
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/geo/?cid=nrcs142p2_053628",owned,geoformat,NA,server,NA,public,ARS,Baffaut_Claire,1tbplus,observational,FALSE,FALSE,TRUE,NA,SSURGO,SSURGO,Soil
126,SQLServer database holding our watershed data,dataset,A custom built database holding our field measurements served through  tucson.ars.ag.gov/dap/,commercial,database,relational database,local,NA,public,ARS,Heilman_Philip,1tb,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,SQLServer database holding our watershed data,SQLServer database holding our watershed data,Water
199,Sprinkler drop size and velocity measurements,dataset,Laboratory measured sprinkler drop size and velocity of center pivot sprinklers,owned,excel,NA,local,NA,private,ARS,King_Bradley,100gb,observational,FALSE,FALSE,TRUE,NA,Sprinkler drop size and velocity measurements,Sprinkler drop size and velocity measurements,NA
421,Spokeo,dataset,"Utilized by SITC.
https://www.spokeo.com/",commercial,other,unknown,other,Internet site,hybrid,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Spokeo,Spokeo,NA
24,Soils Data,dataset,"NRCS creates, updates, and maintains the GIS soil data for the country.  https://websoilsurvey.sc.egov.usda.gov/app/HomePage.htm",owned,geoformat,"geodatabase, I assume sql",cloud,NA,public,NRCS,Buehler_Eric,unknown,observational,FALSE,FALSE,TRUE,NA,Soils,Soils,Soil
37,SoilGrids,dataset,https://www.isric.org/explore/soilgrids,opensource,geoformat,NA,other,See link,public,ARS,Goslee_Sarah,100gb,observational,FALSE,FALSE,TRUE,NA,Soils,Soils,Soil
40,Web Soil Survey,dataset,https://websoilsurvey.sc.egov.usda.gov/App/HomePage.htm,owned,geoformat,NA,server,NA,public,ARS,Dalzell_Brent,unknown,observational,FALSE,FALSE,TRUE,NA,Soils,Soils,Soil
56,Soils,dataset,Survey of soils by survey boundary.  A database of soil interpretations is included.,owned,geoformat,geodatabase,server,Available on Web Soil Survey.,public,NRCS,Pierce_Ryan,1tbplus,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,Soils,Soils,Soil
94,Soil Data Explorer,dataset,Provides a detailed data of surveyed pedons in the US and their associated laboratory atanalysishttps://casoilresource.lawr.ucdavis.edu/see/,shared,database,NA,local,"UC Davis, California",public,ARS,Libohova_Zamir,1tb,observational,FALSE,FALSE,TRUE,NA,Soils,Soils,Soil
98,SoilWeb,dataset,https://casoilresource.lawr.ucdavis.edu/gmap/,shared,geoformat,?,other,unsure,public,ARS,Franzluebbers_Alan,unknown,imagery,TRUE,FALSE,FALSE,NA,Soils,Soils,Soil
152,GRL Soil Water Content Network,dataset,"An on-location multi-site soil water content measurement network.  1 operational site, 2 planned sites (both LTAR locations).",owned,excel,NA,local,NA,private,ARS,Starks_PATRICK,100gb,continuous,FALSE,TRUE,FALSE,NA,Soils,Soils,Soil
188,Soils,dataset,none,owned,geoformat,NA,local,NA,hybrid,NRCS,Runge_Crystal,1tb,observational,FALSE,FALSE,TRUE,NA,Soils,Soils,Soil
295,POLARIS Soil Data,dataset,"POLARIS provides soil parameters for hydrologic modeling for CONUS. Here is their webpage:

https://samapriya.github.io/awesome-gee-community-datasets/projects/polaris/

I am a little unclear about this survey, I can't tell if it is only for USDA data or just all datasets that I use. I am not going to list everything I use, but this is a dataset I use quite a bit.",opensource,geoformat,tiff images,other,A university server,public,ARS,Schreiner-McGraw_Adam,1tbplus,other,FALSE,FALSE,FALSE,Reanalysis of SSURGO data.,Soils,Soils,Soil
308,Soil Water Data,dataset,Soil water data collected in cropping systems studies. Data collected during the corn growing season. Data only collected from planting to crop harvest in the corn phase of the crop rotation. Data collected from multiple depths at 15 minute intervals. Soil water sensors are a mix of Campbell Sci and Acclima TDR sensors and data loggers are Campbell CR1000s and CR206Xs. The dataloggers are networked  over the BARC weather net.,owned,excel,Raw data is in csv files.,server,Data files are written to the USDA onedrive and mirrored to a BARC server W drive.,private,ARS,Schomberg_Harry,100gb,continuous,FALSE,TRUE,FALSE,NA,Soils,Soils,Soil
391,NASA Soil Moisture Active/Passive data products,dataset,"Maps of surface soil moisture derived by the NASA Soil Moisture Active/Passive mission. Used for scientific study and the development of drought-monitoring systems for stakeholders. USDA ARS contributed to the development of the data but the data set is formally held by NASA.

https://nsidc.org/data/smap/smap-data.html",opensource,other,Temporally ordered HDF5 files,other,NASA data repository (the National Science and Ice Data Ice - NSIDC),public,ARS,Crow_Wade,100gb,continuous,FALSE,TRUE,FALSE,NA,Soils,Soils,Soil
338,"Soil Water Content Data for The Bushland, Texas, Winter Wheat Experiments",dataset,"Soil Water Content Data for The Bushland, Texas, Winter Wheat Experiments
https://doi.org/10.15482/USDA.ADC/1526466
This dataset contains soil water content data developed from neutron probe readings taken in access tubes in two of the four large, precision weighing lysimeters and in the fields surrounding each lysimeter that were planted to winter wheat at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU), Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL) beginning in 1989. Data in each spreadsheet are for one winter wheat growing season, either 1989-1990, 1991-1992, or 1992-1993. Other readings taken in those years for other crops are reported elsewhere. Data for the 1989-1990 season and the 1992-1993 season are from the northwest (NW) and southwest (SW) weighing lysimeters and surrounding fields. Data for the 1991-1992 season are from the northeast (NE) and southeast (SE) weighing lysimeters and surrounding fields. Readings were taken periodically with a field-calibrated neutron probe at depths from 10 cm to 230 cm (maximum of 190 cm depth in the lysimeters) in 20-cm depth increments. Periods between readings were typically one to two weeks, sometimes longer according to experimental design and need for data. Field calibrations in the Pullman soil series were done every few years. Calibrations typically produced a regression equation with RMSE <= 0.01 m3 m-3 (e.g., Evett and Steiner, 1995). Data were used to guide irrigation scheduling to achieve full or deficit irrigation as required by the experimental design. Data may be used to calculate the soil profile water content in mm of water from the surface to the maximum depth of reading. Profile water content differences between reading times in the same access tube are considered the change in soil water storage during the period in question and may be used to compute evapotranspiration (ET) using the soil water balance equation: ET = (change in storage + P + I + F + R, where P is precipitation during the period, I is irrigation during the period, F is soil water flux (drainage) out of the bottom of the soil profile during the period, and R is the sum of runon and runoff during the period. Typically, R is taken as zero because the fields were furrow diked to prevent runon and runoff during most of each growing season.",opensource,excel,Excel,server,Data are in the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Soil Water Content Data for The Bushland, Texas, Winter Wheat Experiments","Soil Water Content Data for The Bushland, Texas, Winter Wheat Experiments",Soil
351,"Soil Water Content Data for The Bushland, Texas Large Weighing Lysimeter Experiments",dataset,"Soil Water Content Data for The Bushland, Texas Large Weighing Lysimeter Experiments
https://doi.org/10.15482/USDA.ADC/1526332
This dataset contains soil water content data developed from neutron probe readings taken in access tubes in each of the four large, precision weighing lysimeters and in the fields surrounding each lysimeter at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU), Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL) beginning in 1989. Readings were taken periodically with a field-calibrated neutron probe at depths from 10 cm to 230 cm (maximum of 190 cm depth in the lysimeters) in 20-cm depth increments. Periods between readings were typically one to two weeks, sometimes longer according to experimental design and need for data. Field calibrations in the Pullman soil series were done every few years. Calibrations typically produced a regression equation with RMSE <= 0.01 m3 m-3. Data were used to guide irrigation scheduling to achieve full or deficit irrigation as required by the experimental design. Data may be used to calculate the soil profile water content in mm of water from the surface to the maximum depth of reading. Profile water content differences between reading times in the same access tube are considered the change in soil water storage during the period in question and may be used to compute evapotranspiration (ET) using the soil water balance equation: ET = (change in storage + P + I + F + R, where P is precipitation during the period, I is irrigation during the period, F is soil water flux (drainage) out of the bottom of the soil profile during the period, and R is the sum of runon and runoff during the period. Typically, R is taken as zero because the fields were furrow diked to prevent runon and runoff during most of each growing season.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Soil Water Content Data for The Bushland, Texas Large Weighing Lysimeter Experiments","Soil Water Content Data for The Bushland, Texas Large Weighing Lysimeter Experiments",Soil
341,"Soil Water Content Data for The Bushland, Texas Alfalfa Experiments",dataset,"Soil Water Content Data for The Bushland, Texas Alfalfa Experiments
https://doi.org/10.15482/USDA.ADC/1526368
This dataset contains soil water content data developed from neutron probe readings taken in access tubes in each of the four large, precision weighing lysimeters and in the fields surrounding each lysimeter at the USDA-ARS Conservation and Production Laboratory (CPRL), Soil and Water Management Research Unit (SWMRU), Bushland, Texas (Lat. 35.186714°, Long. -102.094189°, elevation 1170 m above MSL) beginning in 1989. Readings were taken periodically with a field-calibrated neutron probe at depths from 10 cm to 230 cm (maximum of 190 cm depth in the lysimeters) in 20-cm depth increments. Periods between readings were typically one to two weeks, sometimes longer according to experimental design and need for data. Field calibrations in the Pullman soil series were done every few years. Calibrations typically produced a regression equation with RMSE <= 0.01 m3 m-3 (e.g., Evett and Steiner, 1995). Data were used to guide irrigation scheduling to achieve full or deficit irrigation as required by the experimental design. Data may be used to calculate the soil profile water content in mm of water from the surface to the maximum depth of reading. Profile water content differences between reading times in the same access tube are considered the change in soil water storage during the period in question and may be used to compute evapotranspiration (ET) using the soil water balance equation: ET = (change in storage + P + I + F + R, where P is precipitation during the period, I is irrigation during the period, F is soil water flux (drainage) out of the bottom of the soil profile during the period, and R is the sum of runon and runoff during the period. Typically, R is taken as zero because the fields were furrow diked to prevent runon and runoff during most of each growing season.",opensource,excel,Excel,server,Data are on the USDA ARS NAL Ag Data Commons,public,ARS,Evett_Steven,100gb,observational,FALSE,FALSE,TRUE,NA,"Soil Water Content Data for The Bushland, Texas Alfalfa Experiments","Soil Water Content Data for The Bushland, Texas Alfalfa Experiments",Soil
393,Snowtography Dataset,dataset,"Data generated by Snowtography field stations consists of automated daily images of snow depth taken by trail cameras, automated hourly soil moisture, and at some stations, automated hourly weather data such as precipitation, temperature, humidity, and solar radiation.  Each station collects snow depth data for 25-50 distinct locations within a radius of a few hundred meters and soil moisture at 5-20 locations.  Weather information at one or two locations.  Additional data include snow density measurements taken manually during field site visits every few weeks.

There are currently 5 snowtography stations in Arizona and one in Colorado, with 3 more slated for installation in 2022 and 3 more in 2023.  The oldest stations date from 2017.  Some stations are entirely owned by ARS, while most are collaborative efforts with University, industry, and/or NGO partners.  

My current interest to to assemble, store, and share these data in a central, homogenized way.  Ideally the data would be placed in geospatial and meteorological context with relevant layers such as elevation, mean weather, forest type, etc.

For more information on Snowtography, please see:
https://www.ars.usda.gov/pacific-west-area/tucson-az/southwest-watershed-research-center/research/snowtography/",shared,excel,"Mix of image files, datalogger files, spreadsheet files (xlsx)",cloud,"Data are currently stored in some diverse and redundant locations including local drives, google drive, and dropbox.  Storage is mostly by collaborators at each site.",private,ARS,Biederman_Joel,1tb,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,Snowtography Dataset,Snowtography Dataset,Soil Water
363,"•	SNAP Retailer data",dataset,Data feed from the FNS ArcGIS Online Hub can be used by developers to create use these publicly available FNS data into their own platforms. This allows for the public to develop tools that are most useful for them and their stakeholders.,owned,geoformat,NA,other,FNS ArcGIS Online Hub,public,FNS,Stretch_Laura,100gb,observational,FALSE,FALSE,TRUE,NA,SNAP Retailer data,SNAP Retailer data,NA
106,"SIF, Solar Induced Fluorescence",dataset,https://climatesciences.jpl.nasa.gov/sif/,owned,geoformat,NA,server,NA,public,ARS,Saliendra_Nick,unknown,imagery,TRUE,FALSE,FALSE,NA,"SIF, Solar Induced Fluorescence","SIF, Solar Induced Fluorescence",NA
193,Sharepoints,dataset,We have numerous sharepoints and it is hard to keep track of them all.,owned,database,NA,cloud,NA,public,APHIS,McDougle_Jennifer,unknown,continuous,FALSE,TRUE,FALSE,NA,Sharepoints,Sharepoints,NA
312,server,dataset,Many continuous data sets,owned,other,.jpeg,local,NA,private,ARS,Snyder_Keirith,1tbplus,imagery,TRUE,FALSE,FALSE,NA,server,server,NA
162,serotype finder,dataset,serotype database,shared,database,NA,cloud,NA,public,ARS,Wheeler_Tommy,unknown,observational,FALSE,FALSE,TRUE,NA,serotype finder,serotype finder,NA
412,Secretary of State websites for various states,dataset,Secretary of State websites for various states.  Utilized by SITC.,opensource,other,unknown,other,Internet sites,public,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Secretary of State websites for various states,Secretary of State websites for various states,NA
405,SEACATS,dataset,"CBP resource, utilized by SITC.
https://www.dhs.gov/publication/dhscbppia-040-seized-assets-and-case-tracking-system

CBP's Seized Assets and Case Tracking System (SEACATS) is the information system of record for the full lifecycle of all enforcement incidents related to CBP and U.S. Immigration and Customs Enforcement (ICE) Homeland Security Investigations (HSI) operations. The system tracks the physical inventory and records disposition of all seized assets, as well as the administrative and criminal cases associated with those seizures, and functions as the case management system capturing the relevant information and adjudication of the legal outcomes of all fines, penalties, and liquidated damages. The system also serves as the financial system of record for all collections related to these enforcement actions. This PIA is being conducted because SEACATS collects and maintains personally identifiable information (PII) about members of the public associated with CBP arrests and seizures during law enforcement operations.",owned,other,No idea.,other,CBP-owned resource.,private,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,Don't know CBP's methods.,SEACATS,SEACATS,NA
72,SAS,dataset,Statistical and database management software,commercial,excel,NA,local,NA,private,ARS,Szogi_Ariel,100gb,"continuous,observational",FALSE,TRUE,TRUE,NA,SAS,SAS,NA
123,Saltation Activity at the Morgenstern Dunes of West Texas,dataset,"Measurements of blowing sand at the Morgenstern Dunes of West Texas.  Available at:

https://data.mendeley.com/datasets/fsh74btrrb/1",private,excel,NA,other,Mendeley Data site: https://data.mendeley.com/datasets/fsh74btrrb/1,public,ARS,Stout_John,100gb,observational,FALSE,FALSE,TRUE,NA,Saltation Activity at the Morgenstern Dunes of West Texas,Saltation Activity at the Morgenstern Dunes of West Texas,NA
365,Runoff water quantity and quality data from native tallgrass prairie and crop-livestock systems in Oklahoma between 1977 and 1999,dataset,"Data from:
Runoff water quantity and quality data from native tallgrass
prairie and crop-livestock systems inOklahoma between
1977 and 1999.
Available USDA Ag Data Commons - https://data.nal.usda.gov/dataset/data-runoff-water-quantity-and-quality-data-native-tallgrass-prairie-and-crop-livestock-systems-oklahoma-between-1977-and-1999",owned,excel,NA,server,NA,public,ARS,Moriasi_Daniel,unknown,observational,FALSE,FALSE,TRUE,NA,Runoff water quantity and quality data from native tallgrass prairie and crop-livestock systems in Oklahoma between 1977 and 1999,Runoff water quantity and quality data from native tallgrass prairie and crop-livestock systems in Oklahoma between 1977 and 1999,Water
113,Reynolds Creek Experimental Watershed Data,dataset,Long-term hydrology and climate datasets from USDA-ARS Reynolds Creek Experimental Watershed in southwest Idaho.  https://www.nwrc.ars.usda.gov:8043/,owned,excel,NA,cloud,NA,public,ARS,Pierson_Fred,1tb,continuous,FALSE,TRUE,FALSE,NA,Reynolds Creek Experimental Watershed Data,Reynolds Creek Experimental Watershed Data,Water
277,Research Tool,dataset,Research tool was developed by USDA ARS for data entry from field collected samples.,owned,database,Drop down box,server,NA,private,ARS,Brooks_John,100gb,observational,FALSE,FALSE,TRUE,NA,Research Tool,Research Tool,NA
138,Research Data,dataset,"We manage our research data using an Excel database. The field and laboratory data for each project/experiment is managed individually. The data for each experiment varies, but typically includes project number, sample number, replicate, and sampling dates. Response variables include biomass yield, plant frequency of occurrence, height, and multiple composition metrics like N concentration, C content, fiber composition (i.e., cellulose, hemicellulose, & lignin concentration), digestibility, ethanol yield, and up to 20+ predicted characteristics.",commercial,excel,Excel spreadsheet,other,"Datasets are stored on a Local Drive, backed up on an Agency-owned Server located off site, and on OneDrive.",private,ARS,Mitchell_Rob,unknown,"observational,other",FALSE,FALSE,TRUE,Field data is collected by machine harvesting and hand sampling. Laboratory data is also collected through wet chemistry assays and through NIRS scanning of the plant samples.,Research Data,Research Data,Yield
262,Release and establishment of the weevil Mecinus janthiniformis for biological control of Dalmatian toadflax,dataset,"Raw data from the publication: Smith, L., D.M. Woods, M.I. Wibawa, V. Popescu, P.J. Moran, B. Villegas, M.J. Pitcairn and C. Hon. 2021. Release and establishment of the weevil Mecinus janthiniformis for biological control of Dalmatian toadflax in southern California.  Biological Control. 161: 104633.
Available at Ag Data Commons DOI 10.15482/USDA.ADC/1522564",opensource,excel,csv,server,NA,public,ARS,Smith_Lincoln,100gb,observational,FALSE,FALSE,TRUE,NA,Release and establishment of the weevil Mecinus janthiniformis for biological control of Dalmatian toadflax,Release and establishment of the weevil Mecinus janthiniformis for biological control of Dalmatian toadflax,Pest/Disease
142,RefTracker,dataset,"RefTracker is a browser-based reference and enquiry management system. it is a comprehensive Web-based request management system. Excellent replacement for unwieldy email reference systems. Handle off-line completion of walk-up, phone, email, IM, test and chat sessions. Comprehensive, integrated reference statistics. NAL it to keep track of customer inquires, outreach activities/events, phone and email correspondence with customers and stakeholders, literature requests, information requests, etc. this is the login page: https://nal.altarama.com/reft998.aspx",commercial,excel,NA,other,altarama owns it,private,ARS,Carder_Jessie,unknown,observational,FALSE,FALSE,TRUE,NA,RefTracker,RefTracker,NA
127,Rangeland Resources and System Research Project Directory on Teams Drive,dataset,"Datasets are generated by technicians and scientists working in the field.  Some go back as far as the late 1930s and were collected at the Central Plains Experimental Range near Nunn, CO and High Plains Grassland Research Station in Cheyenne, Wyoming.  Data  have been stored as longitudinal time-series.  Metadata are organized and accessible as to be linked to the datasets.  Data and metadata are organized in a fie directory to be accessed by several applications including R, Python, JMP, ArcPro and ArcGIS.",owned,excel,csv and geodatabases,server,NA,hybrid,ARS,Kaplan_Nicole,1tbplus,"continuous,observational",FALSE,TRUE,TRUE,NA,Rangeland Resources and System Research Project Directory on Teams Drive,Rangeland Resources and System Research Project Directory on Teams Drive,Vegetation
241,Rabbit Hemorrhagic Disease Virus (RHDV2) data,dataset,We use DIS / Palantir  to manage RHDV2 data workflows. It pulls from EMRS and we apply several data transformation and cleaning steps and automatically export the data to a SQL server.,private,database,depends on the data,cloud,"Once the data are in the SQL server, we then use Python to publish it to ArcGIS Online.",public,APHIS,South_David,100gb,observational,FALSE,FALSE,TRUE,NA,Rabbit Hemorrhagic Disease Virus (RHDV2) data,Rabbit Hemorrhagic Disease Virus (RHDV2) data,NA
4,R3 Riparian Existing Vegetation (REV),dataset,A detailed mapping of riparian vegetation in Forest Service Region 3,owned,geoformat,Geodatabase,server,NA,public,FS,Anderson_David,100gb,imagery,TRUE,FALSE,FALSE,NA,R3 Riparian Existing Vegetation (REV),R3 Riparian Existing Vegetation (REV),Vegetation
2,R3 Midscale Vegetation (INREV),dataset,"GA vegetation layer covering all lands in Forest Service Region 3.  Used Landsat imagery, NAIP imagery and  GNN imputed plot data to derive attributes.",owned,geoformat,Geodatabase and SDE,server,NA,public,FS,Anderson_David,100gb,imagery,TRUE,FALSE,FALSE,NA,R3 Midscale Vegetation (INREV),R3 Midscale Vegetation (INREV),Vegetation
3,R3 Ecological Response Unit,dataset,A mapping of potential natural vegetation that considers both biophysical parameters and disturbance regime.,owned,geoformat,Geodatabase and SDE,server,NA,public,FS,Anderson_David,100gb,imagery,TRUE,FALSE,FALSE,NA,R3 Ecological Response Unit,R3 Ecological Response Unit,Vegetation
75,R,dataset,Statistical and database management software,opensource,excel,NA,local,NA,private,ARS,Szogi_Ariel,100gb,observational,FALSE,FALSE,TRUE,NA,R,R,NA
329,PubMed,dataset,"PubMed® comprises more than 34 million citations for biomedical literature from MEDLINE, life science journals, and online books. Citations may include links to full text content from PubMed Central and publisher web sites.

https://pubmed.ncbi.nlm.nih.gov
",opensource,database,NA,cloud,NA,public,ARS,Perez de Leon_Adalberto,1tbplus,continuous,FALSE,TRUE,FALSE,NA,PubMed,PubMed,NA
77,PubAg,dataset,"Contains peer-reviewed articles, with 326,012 full-text journal articles on the agricultural sciences, in addition to over 3,890,200 citations.

URL: https://pubag.nal.usda.gov/",commercial,other,"MODS, RELS-EXT in RDF/XML, DC",cloud,NA,public,ARS,Xu_Amanda,100gb,other,FALSE,FALSE,FALSE,Publisher-supplied metadata,PubAg,PubAg,NA
204,Project specific GIS data,dataset,"GIS datasets for individual mineral projects provided by the customer as layers, shapefiles, or geodatabases. GIS data includes project specific features, such as project and mine claim boundaries, drill site locations, and roads along with relevant attributes.",private,geoformat,shapefile,server,stored in personal online account,private,FS,Helm_Carolyn,100gb,other,FALSE,FALSE,FALSE,collected from mining companies submitting a plan of operations,Project specific GIS data,Project specific GIS data,NA
