,name,type,details,ownership_status,app_type,private_public,agency,Respondent Full Name,app_details
174,Campbell Scientific LoggerNet,ots,"purchased software that allows programming, downloading, and communication with Campbell Scientific equipment.",owned,monitor,private,ARS,Gonet_Jeffery,NA
175,Trimble GPS Pathfinder,ots,purchased software that connects with Trimble GPS units,owned,input,private,ARS,Gonet_Jeffery,NA
176,ARC GIS,ots,"GIS software, Agency License",commercial,desktop,private,ARS,Gonet_Jeffery,NA
177,Li-Cor EddyPro,ots,downloadable software to analyze Eddy Covariance data,freeware,desktop,private,ARS,Gonet_Jeffery,NA
178,UgCS,ots,– flight planning and autopilot software for M600,commercial,desktop,private,ARS,Adler_Paul,NA
179,Pilot – flight planning and autopilot software for M210 and X7 sensors,ots,Pilot – flight planning and autopilot software for M210 and X7 sensors,commercial,desktop,private,ARS,Adler_Paul,NA
180,Atlas Flight – flight planning and autopilot software for M210 and RedEdge sensor; also used to set up RedEdge sensor for data capture,ots,Atlas Flight – flight planning and autopilot software for M210 and RedEdge sensor; also used to set up RedEdge sensor for data capture,commercial,desktop,private,ARS,Adler_Paul,NA
181,HyperSpec III – hyperspec and lidar software for setting up sensors for data capture;  also used for downloading and processing hyperspec and lidar data,ots,HyperSpec III – hyperspec and lidar software for setting up sensors for data capture;  also used for downloading and processing hyperspec and lidar data,commercial,desktop,private,ARS,Adler_Paul,NA
182,LiDAR360 – processing LiDAR data,ots,LiDAR360 – processing LiDAR data,commercial,desktop,private,ARS,Adler_Paul,NA
183,Metashape Professional – used for processing RGB and RedEdge imagery,ots,Metashape Professional – used for processing RGB and RedEdge imagery,commercial,desktop,private,ARS,Adler_Paul,NA
184,POSPac UAV – used to generate a post-corrected drone trajectory file from M600 and Applanix High Precison GPS/IMU,ots,POSPac UAV – used to generate a post-corrected drone trajectory file from M600 and Applanix High Precison GPS/IMU,commercial,desktop,private,ARS,Adler_Paul,NA
185,ArcGIS: including ArcMap and ArcGIS Pro,ots,ArcGIS: including ArcMap and ArcGIS Pro,owned,desktop,private,ARS,Adler_Paul,NA
186,"Google Earth Engine, Google Colab",ots,"Google Earth Engine, Google Colab",freeware,webapp,public,ARS,Adler_Paul,NA
187,"RStudio (R environment), and PyCharm (python environment)",ots,"RStudio (R environment), and PyCharm (python environment).",freeware,desktop,private,ARS,Adler_Paul,NA
188,ArcGIS - ArcMap,ots,"ArcMap is the main component of Esri's ArcGIS suite of geospatial processing programs, and is used primarily to view, edit, create, and analyze geospatial data. ArcMap allows the user to explore data within a data set, symbolize features accordingly, and create maps.",owned,desktop,hybrid,FSA,Hancock_Nicholas,NA
189,Critical Mention,ots,Media monitoring,commercial,dashboard,private,RD,Drury_Shawn,NA
190,PoPS (Pest or Pathogen Spread) Model,ots,"The PoPS (Pest or Pathogen Spread) model is a model and web application being developed by the USDA and North Carolina State University. It simulates invasive species spread (ex: sudden oak death, spotted lanternfly) and allows the user to conduct management experiments. 

The PoPS website is currently under development, so it's not fully available. With time, it'll be fully open-source and publicly available. However, users will have login accounts and be able to upload their own data which will not be publicly available. https://popsmodel.org/",opensource,webapp,hybrid,APHIS,Gaydos_Devon,NA
191,Esri ArcGIS,ots,"I use COTS, and BTW, do not work for an agency or ARS, I work for USDA OCIO EGMO - you did not provide for USDA other or for USDA offices like OCIO.",commercial,webapp,private,ARS,Manduley_Suzette,NA
192,Google Earth,ots,Global Mapping tool,commercial,webapp,private,ARS,Manduley_Suzette,NA
193,Google,ots,COTS,commercial,webapp,private,ARS,Manduley_Suzette,NA
194,Microsoft,ots,"I use mostly COTS tools for my work with EGMO.
Btw, I had to select an Agency, and chose ARS, as you did not provide for Other or OCIO or any other office or USDA Department.",commercial,webapp,private,ARS,Manduley_Suzette,NA
195,Raw and processed data from instruments used for soil and water chemical measurements,ots,Science equipment comes with specialized software. I believe there is a need for a reliable data backup system (oftentimes these instruments are not connected to the network). There also should be a way to align the instrument software computer requirements with CEC requirements.,commercial,input,private,ARS,Pisani_Oliva,NA
196,Google Cloud,ots,"Use Sites and Drive to manage my research program data, images, resources.",opensource,webapp,private,ARS,Abendroth_Lori,NA
197,github,ots,Use when working with programmers on some data sets,opensource,webapp,public,ARS,Abendroth_Lori,NA
198,Kisters WISKI,ots,"We use Kisters WISKI to house all data produced from all of our unit's SYs. This includes hydrologic, soils, imagery, and agronomic (crop production) data. This effort is a work in progress and has only recently gotten off the ground with the hiring of our database manager.",commercial,networked,private,ARS,Pisarello_Katie,NA
199,ArcGIS Online (AGOL),ots,https://www.arcgis.com/index.html#,commercial,webapp,hybrid,FS,Perry_Christian,NA
200,R Statistical Programming Language,ots,https://www.r-project.org/,opensource,other,hybrid,FS,Perry_Christian,R is a free software environment for statistical computing and graphics.
201,ArcGIS Pro,ots,https://www.esri.com/en-us/arcgis/products/arcgis-pro/overview,commercial,desktop,private,FS,Perry_Christian,NA
202,Microsoft Desktop & Web 360 suite of products,ots,"Word, Excel, Teams, Access, Outlook, Planner, Calendar, SharePoint, OneNote, OneDrive, etc.",commercial,desktop,hybrid,FS,Perry_Christian,NA
203,ESRI Survey-123,ots,https://www.esri.com/en-us/arcgis/products/arcgis-survey123/overview,commercial,desktop,hybrid,FS,Perry_Christian,NA
204,Graph Pad Prism,ots,statistical software,private,desktop,private,ARS,Miska_Kate,NA
205,MS Office+EndNote+HSC Chemistry+Eddy Pro+JMP+WindTrax+Polymath+R+XLSTAT+Graphad+REFPROP+SAS,ots,"MSOffice: Word, PPT, Excel, MSTeams
HSC Chemistry: thermochemical equilibrium calculation software
WindTrax, Eddy Pro: Wind turbulence and other weather data processing softwares
JMP, XLSTAT, GraphPad, SAS : statistical  and graphic softwares",commercial,desktop,hybrid,ARS,Ro_Kyoung,NA
206,"Microsoft Office (Excel, Word, Access, etc.)",ots,"Certain information is derived from other databases, written as case remarks, or otherwise included in files for various Microsoft Office products.",commercial,desktop,private,APHIS,Young_Stephen,NA
207,ESRI-ARC GIS,ots,"Accessed through the government community cloud. We use lots of layers:
1, Basemaps ArcGIS
2. Fish and Wildlife Environmental Conservation Online system. https://ecos.fws.gov/ecp/
3. FWS Critical Habitat lines
4. National Oceanic and Atmospheric Administration Critical Habitat lines
5. NOAA critical habitat polygons
6. From US Census Bureau layer, American Indian Reservations and Trust Land
7. From USGS, Federal Lands
8. From DOD, Hawaiian DOD parcels
9. Named streams and rivers from ESRI
10. From US Census Bureau-counties
11. From FWS, Rusty Patch Bumblebee occurrence high potential zones
12. From FWS, Rusty Patch Bumblebee occurrence low potential zones
",commercial,networked,private,APHIS,Hoffman_Neil,NA
208,ESRI ARC GIS Pro,ots,used to support Climex modelling,commercial,desktop,private,APHIS,Hoffman_Neil,NA
209,Climex,ots,Predictive modelling of organism distribution,commercial,desktop,private,APHIS,Hoffman_Neil,NA
210,Google Earth,ots,satellite images of earth,opensource,desktop,private,APHIS,Hoffman_Neil,NA
211,ArcGIS Server,ots,ArcGIS Server is part of the ArcGIS Enterprise system.  It is used for data storage and access for specified users in our research unit.,commercial,networked,hybrid,ARS,Eyster_Ritchie,NA
212,TerrSet GIS software,ots,"Raster and Vector GIS analysis software 
clarklabs@clarku.edu
",owned,desktop,private,ARS,Eyster_Ritchie,NA
213,MicaSense Python apps for image processing,ots,Software to read and process the MicaSense RedEdge camera images and align the 5 separate band images.,freeware,desktop,private,ARS,Eyster_Ritchie,NA
214,"Esri ArcGIS Pro, Server, Image Analysis extension, and AcrGIS Online ARS account",ots,ArcGIS software,commercial,other,hybrid,ARS,Eyster_Ritchie,Desktop and Web based Geospatial data processing software.
215,ArcGIS,ots,Geospatial software,commercial,desktop,private,ARS,Knipper_Kyle,NA
216,Python,ots,Open-source coding language,opensource,networked,public,ARS,Knipper_Kyle,NA
217,R,ots,Open-source coding language,opensource,networked,public,ARS,Knipper_Kyle,NA
218,Filezilla,ots,"Desktop application designed to move data easily between FTP servers and local machines (i.e., Windows-based desktops).",commercial,desktop,public,ARS,Knipper_Kyle,NA
219,Visual Studio Code,ots,Microsoft-based GUI used to streamline coding. Also used to remote into local Linux-based servers and develop models (in Python or R) while remaining on the local Windows machine.,freeware,desktop,public,ARS,Knipper_Kyle,NA
220,Fulcrum,ots,"Data collection system we started at least 5 year ago, before we saw ArcGIS Survey123 widely available. We are planning to transition to the agency-supported option (ArgGIS Survey 123) https://www.fulcrumapp.com/",commercial,other,private,ARS,Manoukis_Nicholas,"web app, data input tool, mobile app"
221,Microsoft Excel,ots,Need I say more? Heavily used.,commercial,desktop,private,ARS,Manoukis_Nicholas,NA
222,R,ots,Statistical analysis,opensource,desktop,public,ARS,Manoukis_Nicholas,NA
223,SAS/JMP,ots,Commercial statistical software,commercial,desktop,private,ARS,Manoukis_Nicholas,NA
224,Esri Field Maps,ots,"Mobile collection tool that is customized to the needs of the Asian Longhorned Beetle Eradication program. Field Maps is used on iDevices and can also be used on a desktop computer through the APHIS GIS Portal. Collects geospatial data for various work flows, which feeds into the large ALB dataset/database.",commercial,input,private,APHIS,Dean_Kimberly,NA
225,ArcGIS,ots,"ArcGIS is licensed from ESRI but we have a secure version of it on our system. It is used to map coordinates of proposed release sites of regulated genetically engineered organisms. As a user of this software and following approved Work Instructions, I load/open the basemap and layer package provided by another staff member in my organization, then I upload the CSV file with the GPS coordinates. I assess whether the proposed sites are appropriate to use as a release site. I then take screenshots of the map to include in a Release Site Analysis report. Because some sites are claimed as Confidential Business Information by the applicant, our website (https://maps.mrp.usda.gov/arcgis/home/index.html) is not open to viewing by non-authorized users. Authorized users must have completed CBI training before being allowed access to this tool.",commercial,networked,private,APHIS,Strachan_Janice,NA
226,DSSAT,ots,"Decision Support System for Agritechnology Transfer
https://dssat.net
",opensource,desktop,public,ARS,White_Paul,NA
227,SAS,ots,"statistical analysis software. Scientist would reject enterprise solutions that don't allow them to tailor how the program functions on a daily basis (e.g., input windows, output format, etc).",commercial,desktop,public,ARS,Lents_Clay,NA
228,Golden Helix,ots,"Next-Gen genomic sequence analysis. 
https://www.goldenhelix.com/",commercial,desktop,public,ARS,Lents_Clay,NA
229,ArcGIS,ots,Geographic Information System,owned,desktop,private,ARS,Russ_Andrew,NA
230,Pix4D,ots,UAV image processing / image stitching / photogrammetry / structure from motion /multispectral,commercial,desktop,private,ARS,Russ_Andrew,NA
231,Routescene LiDARviewer,ots,Proprietary LiDAR processing software,owned,desktop,private,ARS,Russ_Andrew,NA
232,SpectralView,ots,Headwall Hyperspectral Image software,commercial,desktop,private,ARS,Russ_Andrew,NA
233,Toad Datapoint,ots,database management and SQL development. Custom query and retrieve biological data from Oracle relational database,commercial,desktop,public,ARS,Lents_Clay,NA
234,Sigma Plot,ots,Used to receive data from gamma counter for interpolation of hormone concentrations from radioimmunoassays.,commercial,desktop,public,ARS,Lents_Clay,NA
235,R studio,ots,statistical analysis platform,opensource,desktop,public,ARS,Lents_Clay,NA
236,EndNote,ots,reference manager,commercial,desktop,public,ARS,Lents_Clay,NA
237,LAS X,ots,"Microscope software platform for life science
https://www.leica-microsystems.com/products/microscope-software/p/leica-las-x-ls/",commercial,desktop,public,ARS,Lents_Clay,NA
238,Scaffold,ots,Proteomic data analysis,opensource,desktop,public,ARS,Lents_Clay,NA
239,Ingenuity pathway  analysis (IPA),ots,"This is used for transcriptomics, proteomics data analysis https://digitalinsights.qiagen.com/products-overview/discovery-insights-portfolio/analysis-and-visualization/qiagen-ipa/",commercial,webapp,private,ARS,Wang_Tom,NA
240,CLC genomic work bench,ots,This is for analysis of next generation sequencing data,private,webapp,private,ARS,Wang_Tom,NA
241,JMP genomics,ots,For statistical analysis of transcriptomics data https://www.jmp.com/en_be/academic/offers/genomics-linkedin.html,private,webapp,private,ARS,Wang_Tom,NA
242,R package,ots,This is used for transcriptomics analysis,freeware,other,private,ARS,Wang_Tom,statistical analysis software for gene expression analysis
243,ArcGIS Pro,ots,"ESRIs next generation GIS software for viewing, managing, and analyzing spatial and tabular data.",commercial,desktop,public,NRCS,Capezza_Robert,NA
244,mothur,ots,Software for analyzing DNA sequence data.  Available from: https://mothur.org/,opensource,desktop,public,ARS,Tyler_Heather,NA
245,JMP,ots,Statistical analysis program.,commercial,desktop,public,ARS,Tyler_Heather,NA
246,ArcGIS,ots,"Use ArcGIS 10.3.1 to create maps, provide program analysis and imagery interpretation.",owned,desktop,private,FSA,Flocke_John,NA
247,Microsoft Excel,ots,Nothing follows,commercial,desktop,private,FNS,Dixon-Mills_Sharon,NA
248,SciNet,ots,We are using Geneious,owned,webapp,private,ARS,Reardon_Catherine,NA
249,XToolsPro,ots,"Full-featured third party extensions for ArcGIS Desktop end users providing a comprehensive set of tools for vector spatial analysis, shape conversion and table management. https://xtools.pro/",private,desktop,hybrid,FS,Wroblewski_Becky,NA
250,Aquarius,ots,"Automatically upload tele-transmitted data in a database and provides means to perform quality control, corrections, and approval of the data, assign a quality grade and associate notes and comments to each data point. Records and saves metadata for any modification of the data. https://aquaticinformatics.com/products/aquarius-environmental-water-data-management/",commercial,networked,private,ARS,Baffaut_Claire,NA
251,Sample Master LIMS (Laboratory Information Management System),ots,"Provides a single system for data entry, QA/QC, electronic data transfer and overall management of laboratory data.
https://atlab.com/products/sample-master/",commercial,networked,private,ARS,Baffaut_Claire,NA
252,Wireless infrared thermometers,ots,Digital output of surface temperature measurements,shared,monitor,public,ARS,O'Shaughnessy_Susan,NA
253,OneDrive + R,ots,I store my data on OneDrive and analyze it in R software.,opensource,desktop,private,ARS,Ellsworth_Patrick,NA
254,Image processing software and GIS software,ots,"ENVI/IDL
Erdas Imagine
Pix4D
ArcGIS Pro",commercial,desktop,hybrid,ARS,Yang_Chenghai,NA
255,Pix4D,ots,https://www.pix4d.com/,commercial,desktop,private,ARS,Jin_Virginia,NA
256,combine yield monitor,ots,"Yield data collected from commercial combine software - data must often be converted to another more compatible application in order to process in software that is not proprietary to the combine (i.e. John Deere, Case, ALMACO, etc).",commercial,input,private,ARS,Jin_Virginia,NA
257,Canopeo,ots,"https://canopeoapp.com/#/login

Imaging software that can determine percent plant cover vs bare soil in still images or on-the-go.",freeware,input,public,ARS,Jin_Virginia,NA
258,DSSAT model,ots,"The Decision Support System for Agrotechnology Transfer (DSSAT) is a software application program that comprises crop simulation models for over 42 crops (as of Version 4.7.5) as well as tools to facilitate effective use  of the models. The tools include database management programs for soil, weather, crop management and experimental data, utilities, and application programs. The crop simulation models simulate growth, development and yield as a function of the soil-plant-atmosphere dynamics.

https://dssat.net/",freeware,desktop,public,ARS,Jin_Virginia,NA
259,SAS and JMP,ots,"Statistical software

https://www.sas.com/en_us/home.html

https://www.jmp.com/en_us/home.html",commercial,desktop,private,ARS,Jin_Virginia,NA
260,Microsoft Products,ots,General office/data entry/data archival purposes,commercial,desktop,private,ARS,Jin_Virginia,NA
261,"ESRI products (ArcMap, ArcPro, FieldMaps, ArcGIS Online)",ots,Used for geospatial research,commercial,desktop,private,ARS,Jin_Virginia,NA
262,SAS,ots,Statistical and data analysis  tool,commercial,desktop,private,ARS,Flerchinger_Gerald,NA
263,MATLAB,ots,"MATLAB is a programming and data analysis environment that allows me to process, analyze, and visualize time-series data.  It contains functions such as wavelet analysis, curve fitting, statistical functions, and geospatial functions.  The software package is also supported by an active community writing code that is available through a file exchange, which can drastically reduce the time need to implement some types of specialized data analysis.",commercial,desktop,private,ARS,Wren_Daniel,NA
264,LabView,ots,"LabView is used for writing custom code for data acquisition. It allows me to synchronize movements with a motion control system with the acquisition of acoustic in laboratory flume experiments.  The control and customization that I can achieve with LabView enhances the quality of data collection, since it ultimately reduces the number of repetitive tasks that a technician must perform.",commercial,desktop,private,ARS,Wren_Daniel,NA
265,Cogito Studio Express (CSE),ots,"https://www.expert.ai/products/expert-ai-platform/?
Platform developed by Expert System for natural language processing. 
We use it to index NAL Thesaurus (NALT) terms for articles entered in the Agricola database.  Several features that we used in testing (e.g., adding terms to the NALT) have not yet been configured for use in normal production and work routines.",commercial,webapp,private,ARS,McGervey_Teresa,NA
266,VocBench,ots,"http://vocbench.uniroma2.it/
""VocBench is a web-based, multilingual, collaborative development platform for managing OWL ontologies, SKOS(/XL) thesauri, Ontolex-lemon lexicons and generic RDF datasets."" 
We use it to support indexing ARIS projects that are managed outside CSE. We also use it to manage NALT terms (e.g., add new terms, provide descriptions or usage notes, adjust term hierarchies). It sits on the SciNet platform so we must log out of the ARS VPN and log into the SciNet VPN to use VocBench.",commercial,webapp,private,ARS,McGervey_Teresa,NA
267,Survey 123,ots,Template for USDA surveys based on ArcGIS program Survey 123,private,input,private,APHIS,Ryan_Kelly,NA
268,Minitab,ots,Statistical analysis software,commercial,other,private,ARS,Ducey_Thomas,Statistical softrware
269,PCORD,ots,Phylogenetic analysis software,commercial,desktop,private,ARS,Ducey_Thomas,NA
270,ARIS,ots,"Stores all ARS project information (project plans, annual reports, publication reports, personnel info, budget codes, etc.) in a way that is supposed to be searchable, but is difficult to use.",owned,webapp,private,ARS,Beebout_Sarah,NA
271,Lindsay FieldNet,ots,"This website interface allows for delineation of plot boundaries with variable rate irrigation systems. We wish to work more closely with Lindsay to be able to integrate our internal water balance models and data collection systems with the software, however creating relationships and formal collaborative agreements has proven difficult.

https://www.lindsay.com/usca/en/irrigation/brands/fieldnet/",private,webapp,private,ARS,DeJonge_Kendall,NA
272,ESRI ArcGIS Enterprise Software,ots,"ArcGIS Enterprise for server and portal
",commercial,webapp,hybrid,RD,Cherniss_Jerad,NA
273,"Remote sensing imagery including Google Earth Engine, MS Office 365, SAS, SigmaPlot, Google Earth, NRCS Web Soil Survey, Google Chrome, Zoom Webex",ots,"Off the shelf imagery, mapping, and communication tools along with productivity software",commercial,desktop,private,ARS,Van Pelt_Robert,NA
274,FPAC Qualtrics,ots,"Qualtrics XM Software is externally hosted and provides the Farm Production and Conservation Business Center (FBC) with the tools needed to conduct secure online surveys. The Farm Service Agency and the Natural Resources Conservation Service within the FBC mission area are designated as High Impact Service Providers (HISP) by the Office of Management and Budget (OMB) and are required to collect and publish the results of this feedback quarterly.  This software provides the ability to create, implement, manage, analyze and report web-based surveys and to upload mailed survey data to meet the requirement.  The system is leveraged to manage CX data and directories for both internal and external customer feedback projects, across all four FPAC agencies, providing teams with transactional feedback and sentiment results to improve services.",owned,other,private,FPAC,Snow_Laurie,"This provides a web application (SaaS) that serves as a Data Collection, Continuous Monitoring and Dashboarding tool for all Customer Experience Feedback collected."
275,Vistrails/SAHM,ots,"SAHM is a modeling package for species distribution modeling developed by USGS for use with Vistrails open-source scientific workflow software. Unfortunately Vistrails is no longer being maintained by the developers, so its lifespan is probably limited to the point that an OS update breaks it.",opensource,desktop,private,APHIS,Warden_Melissa,NA
276,R,ots,Open source statistical modeling software with spatial analysis capabilities,opensource,desktop,public,APHIS,Warden_Melissa,NA
277,Climex/Dymex,ots,Climate suitability modeling software,commercial,desktop,private,APHIS,Warden_Melissa,NA
278,AdobeCreativeCloudDesktop,ots,Image editing and management tools,commercial,webapp,private,ARS,Pearson_Matthew,NA
279,Alma-D,ots,enterprise library collection management platform,commercial,webapp,hybrid,ARS,Pearson_Matthew,NA
280,archiveit,ots,Web Archiving tools and hosting,commercial,webapp,hybrid,ARS,Pearson_Matthew,NA
281,Archivematica,ots,digital preservation microservices suite,opensource,networked,private,ARS,Pearson_Matthew,NA
282,Archives Space,ots,Archives processing and discovery platform for digital and physical collections,opensource,networked,hybrid,ARS,Pearson_Matthew,NA
283,Audacity,ots,audio editing tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
284,AudioVisualPreservationSolutionsFixityPro,ots,Digital preservation transfer tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
285,bagger,ots,digital preservation transfer tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
286,BitCurator,ots,digital forensics suite,opensource,desktop,private,ARS,Pearson_Matthew,NA
287,Box,ots,data transfer tool,commercial,webapp,private,ARS,Pearson_Matthew,NA
288,bulk_extractor,ots,digital forensics tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
289,CaptureOne Pro CH,ots,image capture and editing tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
290,ClamAV,ots,antivirus software,opensource,desktop,private,ARS,Pearson_Matthew,NA
291,CloneSpy,ots,digital forensics tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
292,colorchecker display plus,ots,color management and monitor calibrating tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
293,dupeGuru,ots,digital forensics tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
294,EclipseFoundationOxygen,ots,cataloging and XML editing tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
295,EvolusPencil,ots,webpage design mockup tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
296,exactly,ots,Digital transfer tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
297,Exiftool,ots,metadata editor,opensource,desktop,private,ARS,Pearson_Matthew,NA
298,FFMpeg,ots,video codec tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
299,fromthepage,ots,crowdsource transcription platform,commercial,webapp,hybrid,ARS,Pearson_Matthew,NA
300,Handbrake,ots,video editing tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
301,7zip,ots,file compression / data transfer tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
302,ImageMagick,ots,image manipulation library,opensource,desktop,private,ARS,Pearson_Matthew,NA
303,Internet archive metamanager,ots,metadata editing platform,commercial,webapp,private,ARS,Pearson_Matthew,NA
304,internetarchive commandline tool,ots,mass digitization workflow tool,commercial,webapp,private,ARS,Pearson_Matthew,NA
305,Irfanview,ots,image editing tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
306,JAMTreeSizeProfessional,ots,digital preservation tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
307,JIRA,ots,project management tool,commercial,networked,private,ARS,Pearson_Matthew,NA
308,Confluence,ots,feature rich wiki and communication tool,commercial,networked,private,ARS,Pearson_Matthew,NA
309,Karens-Directory-Printer,ots,digital processing tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
310,MicrosoftPowerShell,ots,scripting library and language,commercial,desktop,private,ARS,Pearson_Matthew,NA
311,MS O365 Suite,ots,productivity tools,commercial,webapp,private,ARS,Pearson_Matthew,NA
312,MSVisioStandard,ots,diagramming tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
313,NationalArchivesUKDROID,ots,format identification tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
314,Omeka,ots,online exhibits tool,opensource,networked,hybrid,ARS,Pearson_Matthew,NA
315,OpenRefine,ots,data transformation tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
316,PDFSAM,ots,PDF tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
317,Strawberry Perl,ots,programming,opensource,desktop,private,ARS,Pearson_Matthew,NA
318,Postman,ots,scripting development tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
319,Primo,ots,enterprise Library discovery platform,commercial,networked,hybrid,ARS,Pearson_Matthew,NA
320,pycharm,ots,scripting library,opensource,desktop,private,ARS,Pearson_Matthew,NA
321,Python,ots,scripting language,opensource,desktop,private,ARS,Pearson_Matthew,NA
322,reftracker,ots,reference request ticketing system,commercial,networked,private,ARS,Pearson_Matthew,NA
323,ReNamer,ots,file renaming tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
324,ScooterBeyondCompare,ots,digital forensics tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
325,silverfast,ots,scanning and image editing tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
326,PuTTY,ots,remote work and data transfer tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
327,tableau,ots,dashboard development tool,commercial,webapp,private,ARS,Pearson_Matthew,NA
328,Camtasia,ots,screencast recording and editing tool,commercial,desktop,private,ARS,Pearson_Matthew,NA
329,TerraCopy,ots,digital forensics tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
330,MarcEdit,ots,metadata editing tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
331,DROID,ots,digital forensics tool,opensource,desktop,private,ARS,Pearson_Matthew,NA
332,Voyager,ots,enterprise library cataloging and discovery platform,commercial,networked,hybrid,ARS,Pearson_Matthew,NA
333,WebTA,ots,management and timekeeping tool,private,webapp,private,ARS,Pearson_Matthew,NA
334,AgLearn,ots,training and development management and resources,private,webapp,private,ARS,Pearson_Matthew,NA
335,MyEPP,ots,personnel records management,private,webapp,private,ARS,Pearson_Matthew,NA
336,EPMS,ots,Employee management system,private,networked,private,ARS,Pearson_Matthew,NA
337,ArcGIS Pro,ots,"ESRI owned GIS application. Used for mapping, analysis, and other GIS data tasks on a daily basis",commercial,desktop,public,FSA,Kennedy_Megan,NA
338,Digital Globe,ots,"an open source , web application that you can view, analyze, and download Maxar data that is available to you via Global Enhanced GEOINT Delivery (G-EGD).",opensource,webapp,hybrid,FSA,Kennedy_Megan,NA
339,R studio,ots,R studio is an analytical tool for data analysis,opensource,desktop,private,ARS,Snyder_Keirith,NA
340,ARC GIS,ots,Geospatial tool,commercial,desktop,private,ARS,Snyder_Keirith,NA
341,Microsoft Office,ots,Microsoft office very standard,commercial,desktop,private,ARS,Snyder_Keirith,NA
342,JMP,ots,statistical package,commercial,desktop,private,ARS,Snyder_Keirith,NA
343,ArcMap,ots,GIS,commercial,desktop,private,ARS,Vories_Earl,NA
344,GeoDa,ots,spatial analysis software,freeware,desktop,public,ARS,Vories_Earl,NA
345,Microsoft Office,ots,"spreadsheet, word processor, presentation, e-mail",commercial,desktop,private,ARS,Vories_Earl,NA
346,SAS,ots,statistical analyses,commercial,desktop,private,ARS,Vories_Earl,NA
347,SMS Basic,ots,Ag Leader data management,commercial,desktop,private,ARS,Vories_Earl,NA
348,Yield Editor,ots,yield monitor data cleaning,freeware,desktop,private,ARS,Vories_Earl,NA
349,Vesper,ots,data kriging,freeware,desktop,private,ARS,Vories_Earl,NA
350,Climex,ots,"Climex and Dymex Suite Training is needed for proper usage
Tools for species occurrence pattern and risk assessment
https://www.hearne.software/Software/CLIMEX-DYMEX/Editions",commercial,desktop,private,APHIS,Shen_Zhengxing,NA
351,Maximum Entropy Species Distribution Modeling (MaxEnt),ots,"https://biodiversityinformatics.amnh.org/open_source/maxent/ 

Maxent is a highly studied and open source software used for species distribution modeling that requires presence only data. It is regarded as one of the best preforming presence only data modeling software when the correct methods are taken. It runs with Java, but requires a good amount of geoprocessing to set up the model to run correctly. Many papers have been published using maxent, and there is a google group and introduction packet that answers common questions and walks the user through setting up a run.",opensource,desktop,public,APHIS,Nicolette_Jordan,NA
352,USDA Tableau Server,ots,"Tableau is a visual analytics platform transforming the way we use data to solve problems—empowering people and organizations to make the most of their data.

https://cxodashboard.dl.usda.gov/#/home",commercial,dashboard,private,ARS,Perez de Leon_Adalberto,NA
353,Enterprise Performance Management Application,ots,https://ehrapps.usda.gov/systems/epma/,commercial,input,private,ARS,Perez de Leon_Adalberto,NA
354,CONCURGOV,ots,"SAP Concur offers solutions and network of travel suppliers that help create an automated, integrated corporate travel system to meet travel and expense goals.",commercial,webapp,private,ARS,Perez de Leon_Adalberto,NA
355,AgLearn,ots,"The AgLearn system is USDA's Department-wide system for managing training records and activity at USDA. It is Powered by Totara Learns and hosted on AWS GovCloud (US). Totara Learns is an open-source enterprise LMS for corporate learning to educate, manage, and connect employees, partners, or constituents.",opensource,networked,hybrid,ARS,Perez de Leon_Adalberto,NA
356,WebTA,ots,"Time & Attendance System
",private,webapp,private,ARS,Perez de Leon_Adalberto,NA
357,USAStaffing,ots,USA Staffing® is an Official U.S. Government System for authorized use only.,private,webapp,private,ARS,Perez de Leon_Adalberto,NA
358,USAJOBS,ots,"As the Federal Government’s official employment site, USAJOBS connects job seekers with federal employment opportunities across the United States and around the world.",commercial,webapp,public,ARS,Perez de Leon_Adalberto,NA
